FID,OBJECTID,KEY_ID,VALUE,TYPE,FEATURECOD,FEATUREGUI,EPSCREATET,EPSMODIFYT,PROJECTID,MAPSCALE,SECURITY,UPDATEREGI,UPDATETIME,YEWBH,YEWID,DESCRIPTIO,X,Y
45,169761,232438,6.820000000000000,0,839100,{64159635-0BE3-4948-A366-0D8AF079ABF6},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35461.783000000003085,-16879.569999999999709
46,169762,232444,7.300000000000000,0,839100,{C260D792-329B-46B6-B8D9-BF90AC244DCD},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,36167.127999999996973,-17542.676999999999680
47,169763,232445,7.300000000000000,0,839100,{BE815A2C-4EA1-4FAA-880B-88621EFF5480},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,36112.635000000002037,-17418.612000000000990
48,278519,231064,7.200000000000000,0,839100,{25B07E3A-E58E-4FEB-A9F1-52D151DAEFC1},2010/4/7 0:00:00,2012/4/11 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,36229.137999999999010,-16756.244999999998981
49,278520,232361,7.200000000000000,0,839100,{FAD604F1-A9FE-48E8-A077-F1A17E47E1F2},2010/4/7 0:00:00,2012/4/11 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,36173.048000000002503,-16634.985000000000582
50,278739,232227,7.210000000000000,0,839100,{AB569FA3-B7C2-4A7F-B276-4E9B0B3E73A5},2010/4/7 0:00:00,2012/4/13 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35595.777999999998428,-15341.432000000000698
51,278889,232230,7.270000000000000,0,839100,{7DE44F75-1162-4958-B223-ECDBE37C255B},2010/4/7 0:00:00,2012/4/13 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35730.288000000000466,-15684.469999999999345
52,278890,232231,7.270000000000000,0,839100,{58D1B0DB-4B72-4B8A-A16F-BCBC3366415E},2010/4/7 0:00:00,2012/4/13 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35781.798999999999069,-15808.369000000000597
53,278891,232232,7.240000000000000,0,839100,{8F2E7163-709E-4D32-B480-F52D7EBBAC8A},2010/4/7 0:00:00,2012/4/13 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35871.726999999998952,-15996.850000000000364
54,278892,232233,7.230000000000000,0,839100,{BD6CC9F5-7B70-4DEF-B246-905C5D7A168A},2010/4/7 0:00:00,2012/4/13 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35834.879000000000815,-15918.356999999999971
55,278893,232238,7.220000000000000,0,839100,{8D3135E8-B7C4-4A7C-B9B7-3274F03D5C06},2010/4/7 0:00:00,2012/4/13 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35680.101000000002387,-15557.557000000000698
56,278894,232245,7.300000000000000,0,839100,{F6F31CE6-BE5E-45B3-92B7-A55EED9F33BB},2010/4/7 0:00:00,2012/7/12 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35326.599000000001979,-15651.418999999999869
57,278895,232246,7.300000000000000,0,839100,{AF172791-413D-4458-A73E-B84309D423D9},2010/4/7 0:00:00,2012/8/1 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35377.341999999996915,-15764.363999999999578
